时间,星期一,星期二,星期三,星期四,星期五,星期六,星期日
第一节,"微型计算机系统
周一第1,2节{第18-18周}
宋杰
博学北楼A303","软件工程概论实验
周二第1,2节{第13-18周}
郑诚
笃南A211软件工程实验室二
软件工程概论
周二第1,2节{第1-12周}
郑诚
博学北楼B305","网络原理
周三第1,2节{第1-18周}
韩莉
博学北楼B209
2020年01月08日(13:40-15:40)
博学北楼B202","专业英语
周四第1,2节{第1-18周}
殷赵霞
博学北楼B205","微型计算机系统实验
周五第1,2节{第7-17周|单周}
宋杰
笃南A205微机系统实验室
Socket编程实验
周五第1,2节{第8-18周|双周}
张超
笃南A211软件工程实验室二","系统硬件综合训练
周六第1,2节{第9-12周}
周健
笃南A205微机系统实验室", 
第二节,同前一节,同前一节,同前一节,同前一节,同前一节,同前一节,
第三节,"Socket编程
周一第3,4节{第1-18周}
张超
博学北楼B203
2020年01月05日(16:00-18:00)
博学北楼A105","软件工程概论实验
周二第3,4节{第13-18周}
郑诚
笃南A211软件工程实验室二
软件工程概论
周二第3节{第1-12周}
郑诚
博学北楼B305","网络原理
周三第3节{第1-18周}
韩莉
博学北楼B209
2020年01月08日(13:40-15:40)
博学北楼B202", ,"微型计算机系统实验
周五第3,4节{第7-17周|单周}
宋杰
笃南A205微机系统实验室
Socket编程实验
周五第3,4节{第8-18周|双周}
张超
笃南A211软件工程实验室二","系统硬件综合训练
周六第3,4节{第9-12周}
周健
笃南A205微机系统实验室", 
第四节,同前一节,同前一节,,,同前一节,同前一节,
第五节, ,,,"数据库原理课程设计
周四第5,6节{第1-9周}
汪粼波
笃南A202专业基础实验室一
线性代数 A
周四第5,6节{第4-17周}
贾艳
博学北楼C308
2020年01月06日(13:40-15:40)
博学南楼C401","微型计算机系统
周五第5,6节{第1-13周}
宋杰
博学北楼A303
<font color=""red"">(调0572)</font>
微型计算机系统
周五第5,6节{第15-18周}
宋杰
博学北楼A303
<font color=""red"">(调0572)</font>","系统硬件综合训练
周六第5,6节{第9-12周}
周健
笃南A205微机系统实验室", 
第六节,,,,同前一节,同前一节,同前一节,
第七节, ,"线性代数 A
周二第7,8节{第4-17周}
贾艳
博学北楼C308
2020年01月06日(13:40-15:40)
博学南楼C401",,"数据库原理课程设计
周四第7,8节{第1-9周}
汪粼波
笃南A202专业基础实验室一","微型计算机系统
周五第7节{第1-18周}
宋杰
博学北楼A303","系统硬件综合训练
周六第7,8节{第9-12周}
周健
笃南A205微机系统实验室", 
第八节,,同前一节,,同前一节,,同前一节,
第九节,"计算机图形学实验
周一第9,10,11节{第15-17周}
涂铮铮
笃南A202专业基础实验室一
计算机图形学
周一第9,10,11节{第1-14周}
汤进
博学北楼A205","网络原理实验
周二第9,10,11节{第11-16周}
韩莉
笃南A201网络工程实验室","Python程序设计
周三第9,10,11节{第1-12周}
段震
博学北楼A105
Python程序设计实验
周三第9,10,11节{第13-17周}
段震
笃南A202专业基础实验室一", ,,"系统硬件综合训练
周六第9,10,11节{第9-12周}
周健
笃南A205微机系统实验室", 
第十节,同前一节,同前一节,同前一节,,,同前一节,
第十一节,同前一节,同前一节,同前一节,,,同前一节,
